bolometer 7kOm sample 1,bolometer 7kOm sample 1,
5037.7605857849,0.0066753672,
5033.9031887054,0.0067275846,
5030.045791626,0.0068008173,
5026.1883945465,0.0068639889,
5022.330997467,0.006912725,
5018.4736003876,0.0069453199,
5014.6162033081,0.0069439402,
5010.7588062286,0.0069512045,
5006.9014091492,0.0070154583,
5003.0440120697,0.0070847403,
4999.1866149902,0.007108924,
4995.3292179108,0.0071156817,
4991.4718208313,0.0071204025,
4987.6144237518,0.0070983288,
4983.7570266724,0.007096068,
4979.8996295929,0.0071753748,
4976.0422325134,0.0072694328,
4972.184835434,0.0073116859,
4968.3274383545,0.0073437616,
4964.470041275,0.0073728031,
4960.6126441956,0.0073449439,
4956.7552471161,0.0073072305,
4952.8978500366,0.0073508173,
4949.0404529572,0.0074261026,
4945.1830558777,0.0074441619,
4941.3256587982,0.0074482327,
4937.4682617188,0.007498947,
4933.6108646393,0.007539886,
4929.7534675598,0.0075608101,
4925.8960704803,0.0076368079,
4922.0386734009,0.0077216085,
4918.1812763214,0.0077379476,
4914.3238792419,0.0077362224,
4910.4664821625,0.007763383,
4906.609085083,0.0077987425,
4902.7516880035,0.0078333644,
4898.8942909241,0.0078699812,
4895.0368938446,0.007895384,
4891.1794967651,0.0079140682,
4887.3220996857,0.0079487804,
4883.4647026062,0.0079870634,
4879.6073055267,0.0080026584,
4875.7499084473,0.0080116056,
4871.8925113678,0.0080436263,
4868.0351142883,0.0081015844,
4864.1777172089,0.008170465,
4860.3203201294,0.0082389414,
4856.4629230499,0.0082907975,
4852.6055259705,0.0083106887,
4848.748128891,0.0083234794,
4844.8907318115,0.0083313882,
4841.0333347321,0.0082924999,
4837.1759376526,0.0082492409,
4833.3185405731,0.0082919151,
4829.4611434937,0.0083979052,
4825.6037464142,0.0084862374,
4821.7463493347,0.008549436,
4817.8889522552,0.0085974196,
4814.0315551758,0.0086195134,
4810.1741580963,0.008650763,
4806.3167610168,0.0087172408,
4802.4593639374,0.0087836031,
4798.6019668579,0.0088223293,
4794.7445697784,0.0088282349,
4790.887172699,0.0088042468,
4787.0297756195,0.0088083437,
4783.17237854,0.0088949641,
4779.3149814606,0.0089926058,
4775.4575843811,0.0090066455,
4771.6001873016,0.0089777205,
4767.7427902222,0.0089976145,
4763.8853931427,0.0090745175,
4760.0279960632,0.0091520641,
4756.1705989838,0.0091963299,
4752.3132019043,0.0092290668,
4748.4558048248,0.0092580784,
4744.5984077454,0.0092645036,
4740.7410106659,0.0092858076,
4736.8836135864,0.009338174,
4733.026216507,0.0093689188,
4729.1688194275,0.0093852561,
4725.311422348,0.0094181178,
4721.4540252686,0.0094465772,
4717.5966281891,0.0094774179,
4713.7392311096,0.0095515437,
4709.8818340302,0.0096476339,
4706.0244369507,0.0096938368,
4702.1670398712,0.0096975546,
4698.3096427917,0.0097270701,
4694.4522457123,0.0097853132,
4690.5948486328,0.0098332241,
4686.7374515533,0.0098671978,
4682.8800544739,0.0099094817,
4679.0226573944,0.0099597815,
4675.1652603149,0.0100102033,
4671.3078632355,0.0100724436,
4667.450466156,0.010120051,
4663.5930690765,0.0101097971,
4659.7356719971,0.0100787282,
4655.8782749176,0.0100996206,
4652.0208778381,0.0101759573,
4648.1634807587,0.010260677,
4644.3060836792,0.0103310253,
4640.4486865997,0.0103741959,
4636.5912895203,0.0103751495,
4632.7338924408,0.0103655169,
4628.8764953613,0.0103899594,
4625.0190982819,0.0104508717,
4621.1617012024,0.0105272196,
4617.3043041229,0.0105928062,
4613.4469070435,0.0106427604,
4609.589509964,0.0106910812,
4605.7321128845,0.0107380999,
4601.8747158051,0.0107942298,
4598.0173187256,0.0108502591,
4594.1599216461,0.0108661447,
4590.3025245667,0.0108664595,
4586.4451274872,0.0108951274,
4582.5877304077,0.010943207,
4578.7303333282,0.0110233314,
4574.8729362488,0.0111481342,
4571.0155391693,0.0112366145,
4567.1581420898,0.0112220682,
4563.3007450104,0.0111935809,
4559.4433479309,0.0112365521,
4555.5859508514,0.0112863826,
4551.728553772,0.0112825278,
4547.8711566925,0.0112650571,
4544.013759613,0.0112857744,
4540.1563625336,0.0113463085,
4536.2989654541,0.0114104226,
4532.4415683746,0.0114402091,
4528.5841712952,0.0114614815,
4524.7267742157,0.0115336794,
4520.8693771362,0.0116179362,
4517.0119800568,0.0116587188,
4513.1545829773,0.0117045101,
