bolometer 5kOm sample 2.0,bolometer 5kOm sample 2.0,
6206.5519008636,0.0015424928,
6202.6945037842,0.0015606589,
6198.8371067047,0.0015783493,
6194.9797096252,0.0016007801,
6191.1223125458,0.0016059797,
6187.2649154663,0.0015965113,
6183.4075183868,0.0016066473,
6179.5501213074,0.001621179,
6175.6927242279,0.0016098421,
6171.8353271484,0.0016065249,
6167.977930069,0.0016356369,
6164.1205329895,0.0016673517,
6160.26313591,0.0016918952,
6156.4057388306,0.001709247,
6152.5483417511,0.0017099965,
6148.6909446716,0.0017041173,
6144.8335475922,0.0016993319,
6140.9761505127,0.0017000707,
6137.1187534332,0.0017007084,
6133.2613563538,0.0016862124,
6129.4039592743,0.0016780221,
6125.5465621948,0.0017016169,
6121.6891651154,0.0017309932,
6117.8317680359,0.001727368,
6113.9743709564,0.0017022821,
6110.116973877,0.0016941722,
6106.2595767975,0.0017069695,
6102.402179718,0.0017228018,
6098.5447826385,0.001733636,
6094.6873855591,0.0017408105,
6090.8299884796,0.0017484208,
6086.9725914001,0.0017486517,
6083.1151943207,0.0017395219,
6079.2577972412,0.0017461519,
6075.4004001617,0.0017799484,
6071.5430030823,0.0018168323,
6067.6856060028,0.0018350948,
6063.8282089233,0.0018374457,
6059.9708118439,0.0018316081,
6056.1134147644,0.0018138252,
6052.2560176849,0.001788035,
6048.3986206055,0.001785123,
6044.541223526,0.0018218248,
6040.6838264465,0.0018621536,
6036.8264293671,0.0018720555,
6032.9690322876,0.0018588551,
6029.1116352081,0.0018476364,
6025.2542381287,0.0018550813,
6021.3968410492,0.0018683167,
6017.5394439697,0.0018752215,
6013.6820468903,0.0018787554,
6009.8246498108,0.001882189,
6005.9672527313,0.0018926684,
6002.1098556519,0.0018929502,
5998.2524585724,0.001874513,
5994.3950614929,0.0018713436,
5990.5376644135,0.0018955886,
5986.680267334,0.0019298852,
5982.8228702545,0.0019598876,
5978.965473175,0.0019689989,
5975.1080760956,0.0019527015,
5971.2506790161,0.0019359142,
5967.3932819366,0.0019413629,
5963.5358848572,0.0019627698,
5959.6784877777,0.0019798358,
5955.8210906982,0.001973897,
5951.9636936188,0.0019526302,
5948.1062965393,0.0019437773,
5944.2488994598,0.0019520703,
5940.3915023804,0.0019685789,
5936.5341053009,0.0019902731,
5932.6767082214,0.002012504,
5928.819311142,0.0020295717,
5924.9619140625,0.0020370074,
5921.104516983,0.0020384782,
5917.2471199036,0.0020440798,
5913.3897228241,0.0020563668,
5909.5323257446,0.0020675333,
5905.6749286652,0.0020732577,
5901.8175315857,0.0020774812,
5897.9601345062,0.0020718928,
5894.1027374268,0.0020574494,
5890.2453403473,0.0020657559,
5886.3879432678,0.0020990113,
5882.5305461884,0.002125286,
5878.6731491089,0.0021292553,
5874.8157520294,0.0021087311,
5870.95835495,0.0020881114,
5867.1009578705,0.0021053664,
5863.243560791,0.0021435227,
5859.3861637115,0.0021592863,
5855.5287666321,0.0021598451,
5851.6713695526,0.002179774,
5847.8139724731,0.0022198344,
5843.9565753937,0.002246419,
5840.0991783142,0.0022368259,
5836.2417812347,0.0022121044,
5832.3843841553,0.0022015027,
5828.5269870758,0.002195619,
5824.6695899963,0.0021872562,
5820.8121929169,0.0021958521,
5816.9547958374,0.0022173363,
5813.0973987579,0.0022348471,
5809.2400016785,0.002252209,
5805.382604599,0.0022680801,
5801.5252075195,0.0022813417,
5797.6678104401,0.0023018955,
5793.8104133606,0.0023188791,
5789.9530162811,0.0023173811,
5786.0956192017,0.0023132558,
5782.2382221222,0.0023237853,
5778.3808250427,0.002336446,
5774.5234279633,0.0023394472,
5770.6660308838,0.0023476577,
5766.8086338043,0.0023665903,
5762.9512367249,0.0023778658,
5759.0938396454,0.0023706798,
5755.2364425659,0.0023534996,
5751.3790454865,0.0023532202,
5747.521648407,0.0023912911,
5743.6642513275,0.0024461378,
5739.806854248,0.0024781954,
5735.9494571686,0.0024771364,
5732.0920600891,0.0024615808,
5728.2346630096,0.0024626108,
5724.3772659302,0.0024901279,
5720.5198688507,0.0025098869,
5716.6624717712,0.0025011492,
