# cwd not inside a repo
# Loss.Nf                = 60
# Loss.fmin              = 45000000000.0
# Loss.fmax              = 155000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.003, 0.003)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 10
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (40, 40)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
159,5545.76,5636.76,-91.0,  0,0.0,reject
151,5780.06,5948.5,-168.44,  0,0.0,reject
160,5545.76,6105.06,-559.3,  0,0.0,reject
152,5780.06,5794.54,-14.48,  0,0.0,reject
161,5545.76,5546.12,-0.36,  0,0.0,reject
153,5780.06,5780.31,-0.25,  0,0.0,reject
162,5545.76,5604.62,-58.86,  0,0.0,reject
163,5545.76,5547.68,-1.92,  0,0.0,reject
154,5780.06,17076.31,-11296.25,  0,0.0,reject
164,5545.76,5668.01,-122.25,  0,0.0,reject
155,5780.06,5780.29,-0.23,  0,0.0,reject
165,5545.76,5548.01,-2.25,  0,0.0,reject
156,5780.06,6012.84,-232.78,  0,0.0,reject
166,5545.76,5545.95,-0.19,  0,0.0,reject
157,5780.06,5823.28,-43.22,  0,0.0,reject
167,5545.76,5642.9,-97.14,  0,0.0,reject
158,5780.06,5779.87,0.19,  0,152.8,accept
168,5545.76,5637.99,-92.23,  0,0.0,reject
159,5779.87,5779.16,0.71,  0,1326235290.3,accept
169,5545.76,5628.1,-82.34,  0,0.0,reject
160,5779.16,5779.17,-0.01,  0,0.7,reject
161,5779.16,6015.61,-236.45,  0,0.0,reject
170,5545.76,5547.5,-1.74,  0,0.0,reject
162,5779.16,6011.94,-232.78,  0,0.0,reject
171,5545.76,5545.77,-0.01,  0,0.3,reject
163,5779.16,6115.34,-336.18,  0,0.0,reject
172,5545.76,5641.29,-95.53,  0,0.0,reject
164,5779.16,5779.16,0.0,  0,1.0,accept
173,5545.76,5992.79,-447.03,  0,0.0,reject
165,5779.16,5779.16,0.0,  0,1.0,accept
174,5545.76,5760.46,-214.7,  0,0.0,reject
166,5779.16,5779.17,-0.01,  0,0.5,accept
175,5545.76,5754.83,-209.07,  0,0.0,reject
167,5779.17,6011.96,-232.79,  0,0.0,reject
176,5545.76,6098.42,-552.66,  0,0.0,reject
168,5779.17,5779.13,0.04,  0,28.0,accept
177,5545.76,5614.48,-68.72,  0,0.0,reject
169,5779.13,5788.39,-9.26,  0,0.0,reject
