reference.0,reference.0,
6538.2880496979,0.0078147314,
6534.4306526184,0.0078383861,
6530.5732555389,0.0078629553,
6526.7158584595,0.0078947637,
6522.85846138,0.0079202149,
6519.0010643005,0.0079406705,
6515.1436672211,0.0079704449,
6511.2862701416,0.0080023771,
6507.4288730621,0.0080292337,
6503.5714759827,0.008055374,
6499.7140789032,0.0080851745,
6495.8566818237,0.0081147105,
6491.9992847443,0.0081411432,
6488.1418876648,0.0081723845,
6484.2844905853,0.0081978329,
6480.4270935059,0.0082228864,
6476.5696964264,0.0082547218,
6472.7122993469,0.0082826223,
6468.8549022675,0.0083097368,
6464.997505188,0.0083407983,
6461.1401081085,0.00837248,
6457.2827110291,0.0083973557,
6453.4253139496,0.0084268562,
6449.5679168701,0.0084588937,
6445.7105197906,0.0084821563,
6441.8531227112,0.0085170735,
6437.9957256317,0.0085418411,
6434.1383285522,0.0085791163,
6430.2809314728,0.0086102393,
6426.4235343933,0.0086411536,
6422.5661373138,0.0086698234,
6418.7087402344,0.0086967647,
6414.8513431549,0.0087293237,
6410.9939460754,0.0087601999,
6407.136548996,0.0087931044,
6403.2791519165,0.0088180397,
6399.421754837,0.0088460948,
6395.5643577576,0.0088790804,
6391.7069606781,0.0089101475,
6387.8495635986,0.0089429533,
6383.9921665192,0.0089777168,
6380.1347694397,0.0090067582,
6376.2773723602,0.0090356423,
6372.4199752808,0.0090676248,
6368.5625782013,0.0091014225,
6364.7051811218,0.0091281328,
6360.8477840424,0.009164039,
6356.9903869629,0.0091949385,
6353.1329898834,0.0092298575,
6349.275592804,0.0092588915,
6345.4181957245,0.0092934817,
6341.560798645,0.0093260715,
6337.7034015656,0.0093598831,
6333.8460044861,0.0093916878,
6329.9886074066,0.0094285384,
6326.1312103271,0.0094606932,
6322.2738132477,0.0094930083,
6318.4164161682,0.009526086,
6314.5590190887,0.0095623862,
6310.7016220093,0.0095936917,
6306.8442249298,0.0096280444,
6302.9868278503,0.0096612787,
6299.1294307709,0.0096975733,
6295.2720336914,0.0097324401,
6291.4146366119,0.0097588915,
6287.5572395325,0.0097993696,
6283.699842453,0.0098317629,
6279.8424453735,0.0098698772,
6275.9850482941,0.0099027976,
6272.1276512146,0.0099429507,
6268.2702541351,0.0099756885,
6264.4128570557,0.0100049395,
6260.5554599762,0.0100420341,
6256.6980628967,0.0100841066,
6252.8406658173,0.0101169534,
6248.9832687378,0.0101523157,
6245.1258716583,0.0101937354,
6241.2684745789,0.0102241188,
6237.4110774994,0.0102590742,
6233.5536804199,0.0103004882,
6229.6962833405,0.0103361774,
6225.838886261,0.0103754764,
6221.9814891815,0.0104095079,
6218.1240921021,0.0104478449,
6214.2666950226,0.0104797231,
6210.4092979431,0.0105203642,
6206.5519008636,0.0105575994,
6202.6945037842,0.0105958264,
6198.8371067047,0.0106352419,
6194.9797096252,0.0106768217,
6191.1223125458,0.010709065,
6187.2649154663,0.0107484907,
6183.4075183868,0.0107874982,
6179.5501213074,0.010825539,
6175.6927242279,0.0108626951,
6171.8353271484,0.0109022446,
6167.977930069,0.0109414682,
6164.1205329895,0.0109780356,
6160.26313591,0.0110240532,
6156.4057388306,0.0110636298,
6152.5483417511,0.0110959187,
6148.6909446716,0.0111345127,
6144.8335475922,0.011177294,
6140.9761505127,0.0112142544,
6137.1187534332,0.0112543451,
6133.2613563538,0.011302188,
6129.4039592743,0.0113377953,
6125.5465621948,0.0113890916,
6121.6891651154,0.0114253024,
6117.8317680359,0.0114613846,
6113.9743709564,0.0115085412,
6110.116973877,0.0115451533,
6106.2595767975,0.0115868449,
6102.402179718,0.0116315298,
6098.5447826385,0.0116695017,
6094.6873855591,0.0117146354,
6090.8299884796,0.0117563512,
6086.9725914001,0.0117908269,
6083.1151943207,0.0118413707,
6079.2577972412,0.011878008,
6075.4004001617,0.011925282,
6071.5430030823,0.0119652171,
6067.6856060028,0.0120080374,
6063.8282089233,0.0120510226,
6059.9708118439,0.0120977387,
6056.1134147644,0.0121392654,
6052.2560176849,0.0121841785,
6048.3986206055,0.0122223096,
6044.541223526,0.0122740343,
6040.6838264465,0.0123137478,
6036.8264293671,0.0123583246,
6032.9690322876,0.0123983808,
6029.1116352081,0.0124541763,
6025.2542381287,0.0124954628,
6021.3968410492,0.0125400871,
6017.5394439697,0.0125820953,
6013.6820468903,0.0126276575,
6009.8246498108,0.0126671623,
6005.9672527313,0.0127136903,
6002.1098556519,0.0127609372,
5998.2524585724,0.0128052775,
5994.3950614929,0.0128543023,
5990.5376644135,0.0129019842,
5986.680267334,0.0129468394,
5982.8228702545,0.0129936393,
5978.965473175,0.0130399819,
5975.1080760956,0.0130835306,
5971.2506790161,0.0131303351,
5967.3932819366,0.0131850131,
5963.5358848572,0.0132221803,
5959.6784877777,0.0132728508,
5955.8210906982,0.013317124,
5951.9636936188,0.0133643076,
5948.1062965393,0.0134114884,
5944.2488994598,0.0134601966,
5940.3915023804,0.0135062719,
5936.5341053009,0.0135566145,
5932.6767082214,0.0136044435,
5928.819311142,0.0136500318,
5924.9619140625,0.0136980368,
5921.104516983,0.013752168,
5917.2471199036,0.0137960911,
5913.3897228241,0.0138466805,
5909.5323257446,0.0138923731,
5905.6749286652,0.0139421429,
5901.8175315857,0.0139954034,
5897.9601345062,0.0140457544,
5894.1027374268,0.0140996352,
5890.2453403473,0.0141434949,
5886.3879432678,0.0141949784,
5882.5305461884,0.0142488889,
5878.6731491089,0.0143003184,
5874.8157520294,0.014347339,
5870.95835495,0.0143978857,
5867.1009578705,0.0144545697,
5863.243560791,0.0145068299,
5859.3861637115,0.014555458,
5855.5287666321,0.0146084707,
5851.6713695526,0.0146564208,
5847.8139724731,0.0147123244,
5843.9565753937,0.0147670824,
5840.0991783142,0.0148126762,
5836.2417812347,0.0148683051,
5832.3843841553,0.0149268303,
5828.5269870758,0.0149751892,
5824.6695899963,0.0150355492,
5820.8121929169,0.0150840944,
5816.9547958374,0.0151373213,
5813.0973987579,0.0151969157,
5809.2400016785,0.0152432024,
5805.382604599,0.0152987866,
5801.5252075195,0.0153542645,
5797.6678104401,0.0154116647,
5793.8104133606,0.0154713094,
5789.9530162811,0.0155212637,
5786.0956192017,0.0155790169,
5782.2382221222,0.015634723,
5778.3808250427,0.0156908371,
5774.5234279633,0.0157442912,
5770.6660308838,0.0158027895,
5766.8086338043,0.0158571005,
5762.9512367249,0.0159146339,
5759.0938396454,0.0159650799,
5755.2364425659,0.0160177723,
5751.3790454865,0.0160838943,
5747.521648407,0.0161418412,
5743.6642513275,0.0162049457,
5739.806854248,0.0162541755,
5735.9494571686,0.0163117535,
5732.0920600891,0.0163712688,
5728.2346630096,0.0164267793,
5724.3772659302,0.0164855383,
5720.5198688507,0.0165465903,
5716.6624717712,0.0166022535,
5712.8050746918,0.0166588351,
5708.9476776123,0.0167226866,
5705.0902805328,0.0167835355,
5701.2328834534,0.0168356411,
5697.3754863739,0.016903894,
5693.5180892944,0.0169560201,
5689.660692215,0.0170189925,
5685.8032951355,0.0170773864,
5681.945898056,0.0171462223,
5678.0885009766,0.0172003433,
5674.2311038971,0.0172675718,
5670.3737068176,0.01733041,
5666.5163097382,0.0173864421,
5662.6589126587,0.0174494125,
5658.8015155792,0.0175119713,
5654.9441184998,0.0175735373,
5651.0867214203,0.0176329445,
5647.2293243408,0.0176959187,
5643.3719272614,0.0177557021,
5639.5145301819,0.0178223066,
5635.6571331024,0.0178897753,
5631.7997360229,0.0179484487,
5627.9423389435,0.0180059187,
5624.084941864,0.0180660933,
5620.2275447845,0.0181340836,
5616.3701477051,0.0181992222,
5612.5127506256,0.0182651598,
5608.6553535461,0.0183257032,
5604.7979564667,0.018390609,
5600.9405593872,0.0184532534,
5597.0831623077,0.0185191259,
