# 32e75a017076fcf47c756d329b7a68bc433d61be
# Loss.Nf                = 60
# Loss.fmin              = 20000000000.0
# Loss.fmax              = 190000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.002, 0.002)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 5
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (20, 20)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
158,3524.13,3636.03,-111.9,  0,0.0,reject
159,3524.13,3550.53,-26.4,  0,0.0,reject
160,3524.13,3527.08,-2.95,  0,0.0,reject
161,3524.13,3546.82,-22.69,  0,0.0,reject
162,3524.13,3523.56,0.57,  0,18748367561.5,accept
163,3523.56,3559.53,-35.97,  0,0.0,reject
164,3523.56,3536.07,-12.51,  0,0.0,reject
165,3523.56,11067.98,-7544.42,  0,0.0,reject
166,3523.56,3654.2,-130.64,  0,0.0,reject
167,3523.56,3523.48,0.08,  0,373.6,accept
168,3523.48,3521.1,2.38,  0,130636558358770787874863488486122972352598469555826380900045265270416923067695799205888.0,accept
169,3521.1,3600.95,-79.85,  0,0.0,reject
170,3521.1,3538.91,-17.81,  0,0.0,reject
171,3521.1,3521.26,-0.16,  0,0.0,reject
172,3521.1,3529.05,-7.95,  0,0.0,reject
173,3521.1,3521.3,-0.2,  0,0.0,reject
174,3521.1,3730.47,-209.37,  0,0.0,reject
175,3521.1,10252.48,-6731.38,  0,0.0,reject
176,3521.1,3642.26,-121.16,  0,0.0,reject
177,3521.1,10595.2,-7074.1,  0,0.0,reject
178,3521.1,11067.97,-7546.87,  0,0.0,reject
179,3521.1,3522.42,-1.32,  0,0.0,reject
180,3521.1,3511.35,9.75,  0,inf,accept
181,3511.35,3546.03,-34.68,  0,0.0,reject
182,3511.35,3512.29,-0.94,  0,0.0,reject
183,3511.35,11053.06,-7541.71,  0,0.0,reject
184,3511.35,3581.11,-69.76,  0,0.0,reject
185,3511.35,3554.55,-43.2,  0,0.0,reject
186,3511.35,3529.93,-18.58,  0,0.0,reject
187,3511.35,3510.99,0.36,  0,3732361681413420859239482647001579650724471250191256399870039729411213559404873604019092964340040900947655352567081322721141399968894456692736.0,accept
188,3510.99,3513.46,-2.47,  0,0.0,reject
189,3510.99,3557.86,-46.87,  0,0.0,reject
190,3510.99,3585.75,-74.76,  0,0.0,reject
191,3510.99,3510.87,0.12,  0,563792427013191323413645749549383416474319676950993001009966105284002292086865920.0,accept
192,3510.87,3629.51,-118.64,  0,0.0,reject
193,3510.87,3640.25,-129.38,  0,0.0,reject
194,3510.87,3604.76,-93.89,  0,0.0,reject
195,3510.87,3515.77,-4.9,  0,0.0,reject
196,3510.87,3488.06,22.81,  0,inf,accept
197,3488.06,3494.93,-6.87,  0,0.0,reject
198,3488.06,3715.71,-227.65,  0,0.0,reject
199,3488.06,3532.55,-44.49,  0,0.0,reject
200,3488.06,3494.65,-6.59,  0,0.0,reject
201,3488.06,3489.19,-1.13,  0,0.0,reject
202,3488.06,3504.77,-16.71,  0,0.0,reject
203,3488.06,3491.83,-3.77,  0,0.0,reject
204,3488.06,3570.63,-82.57,  0,0.0,reject
205,3488.06,3517.1,-29.04,  0,0.0,reject
206,3488.06,11058.78,-7570.72,  0,0.0,reject
207,3488.06,3509.78,-21.72,  0,0.0,reject
208,3488.06,3599.52,-111.46,  0,0.0,reject
209,3488.06,11067.97,-7579.91,  0,0.0,reject
210,3488.06,11067.97,-7579.91,  0,0.0,reject
211,3488.06,11067.97,-7579.91,  0,0.0,reject
212,3488.06,3529.55,-41.49,  0,0.0,reject
213,3488.06,11067.97,-7579.91,  0,0.0,reject
214,3488.06,11067.97,-7579.91,  0,0.0,reject
215,3488.06,3625.75,-137.69,  0,0.0,reject
216,3488.06,3486.93,1.13,  0,inf,accept
217,3486.93,3486.86,0.07,  0,inf,accept
218,3486.86,3524.6,-37.74,  0,0.0,reject
219,3486.86,11067.97,-7581.11,  0,0.0,reject
220,3486.86,3501.78,-14.92,  0,0.0,reject
221,3486.86,3501.85,-14.99,  0,0.0,reject
222,3486.86,3464.14,22.72,  0,inf,accept
223,3464.14,3464.58,-0.44,  0,0.0,reject
224,3464.14,5972.89,-2508.75,  0,0.0,reject
225,3464.14,3464.5,-0.36,  0,0.0,reject
226,3464.14,11059.32,-7595.18,  0,0.0,reject
227,3464.14,3464.71,-0.57,  0,0.0,reject
228,3464.14,3563.62,-99.48,  0,0.0,reject
229,3464.14,11067.98,-7603.84,  0,0.0,reject
230,3464.14,11067.98,-7603.84,  0,0.0,reject
231,3464.14,9410.97,-5946.83,  0,0.0,reject
232,3464.14,11060.02,-7595.88,  0,0.0,reject
233,3464.14,3469.01,-4.87,  0,0.0,reject
234,3464.14,11067.97,-7603.83,  0,0.0,reject
235,3464.14,3463.29,0.85,  0,inf,accept
236,3463.29,11056.54,-7593.25,  0,0.0,reject
237,3463.29,11067.98,-7604.69,  0,0.0,reject
238,3463.29,11067.98,-7604.69,  0,0.0,reject
239,3463.29,3464.68,-1.39,  0,0.0,reject
240,3463.29,3463.37,-0.08,  0,0.0,reject
241,3463.29,3462.73,0.56,  0,inf,accept
242,3462.73,11067.98,-7605.25,  0,0.0,reject
243,3462.73,3463.36,-0.63,  0,0.0,reject
244,3462.73,3453.69,9.04,  0,inf,accept
245,3453.69,3450.93,2.76,  0,inf,accept
246,3450.93,3454.22,-3.29,  0,0.0,reject
247,3450.93,11067.98,-7617.05,  0,0.0,reject
248,3450.93,3453.82,-2.89,  0,0.0,reject
249,3450.93,3500.61,-49.68,  0,0.0,reject
250,3450.93,3450.17,0.76,  0,inf,accept
251,3450.17,3441.13,9.04,  0,inf,accept
252,3441.13,3485.84,-44.71,  0,0.0,reject
253,3441.13,11067.98,-7626.85,  0,0.0,reject
254,3441.13,3494.26,-53.13,  0,0.0,reject
255,3441.13,3442.68,-1.55,  0,0.0,reject
256,3441.13,11067.98,-7626.85,  0,0.0,reject
257,3441.13,3429.53,11.6,  0,inf,accept
258,3429.53,11067.98,-7638.45,  0,0.0,reject
259,3429.53,11059.62,-7630.09,  0,0.0,reject
260,3429.53,3443.88,-14.35,  0,0.0,reject
261,3429.53,3432.44,-2.91,  0,0.0,reject
262,3429.53,3418.73,10.8,  0,inf,accept
263,3418.73,3428.12,-9.39,  0,0.0,reject
264,3418.73,3413.37,5.36,  0,inf,accept
265,3413.37,3435.53,-22.16,  0,0.0,reject
266,3413.37,3415.84,-2.47,  0,0.0,reject
267,3413.37,3398.3,15.07,  0,inf,accept
268,3398.3,3397.53,0.77,  0,inf,accept
269,3397.53,3534.29,-136.76,  0,0.0,reject
270,3397.53,11067.97,-7670.44,  0,0.0,reject
271,3397.53,3417.59,-20.06,  0,0.0,reject
272,3397.53,11067.97,-7670.44,  0,0.0,reject
273,3397.53,11059.04,-7661.51,  0,0.0,reject
274,3397.53,9395.68,-5998.15,  0,0.0,reject
275,3397.53,3505.96,-108.43,  0,0.0,reject
276,3397.53,11067.97,-7670.44,  0,0.0,reject
277,3397.53,11067.97,-7670.44,  0,0.0,reject
278,3397.53,3562.53,-165.0,  0,0.0,reject
279,3397.53,9381.78,-5984.25,  0,0.0,reject
280,3397.53,11067.97,-7670.44,  0,0.0,reject
281,3397.53,3396.74,0.79,  0,inf,accept
282,3396.74,3391.74,5.0,  0,inf,accept
283,3391.74,3515.92,-124.18,  0,0.0,reject
284,3391.74,3395.29,-3.55,  0,0.0,reject
285,3391.74,11067.98,-7676.24,  0,0.0,reject
286,3391.74,3385.44,6.3,  0,inf,accept
287,3385.44,3392.32,-6.88,  0,0.0,reject
288,3385.44,3422.0,-36.56,  0,0.0,reject
289,3385.44,11067.97,-7682.53,  0,0.0,reject
290,3385.44,11067.97,-7682.53,  0,0.0,reject
291,3385.44,3567.95,-182.51,  0,0.0,reject
292,3385.44,11067.97,-7682.53,  0,0.0,reject
293,3385.44,11067.97,-7682.53,  0,0.0,reject
294,3385.44,3427.1,-41.66,  0,0.0,reject
295,3385.44,2543.6,841.84,  0,inf,accept
296,2543.6,11067.97,-8524.37,  0,0.0,reject
297,2543.6,3027.37,-483.77,  0,0.0,reject
298,2543.6,3336.64,-793.04,  0,0.0,reject
299,2543.6,11067.97,-8524.37,  0,0.0,reject
300,2543.6,2601.19,-57.59,  0,0.0,reject
301,2543.6,2540.7,2.9,  0,inf,accept
302,2540.7,11059.31,-8518.61,  0,0.0,reject
303,2540.7,11067.97,-8527.27,  0,0.0,reject
304,2540.7,3311.37,-770.67,  0,0.0,reject
305,2540.7,11067.97,-8527.27,  0,0.0,reject
306,2540.7,3879.59,-1338.89,  0,0.0,reject
307,2540.7,11043.95,-8503.25,  0,0.0,reject
308,2540.7,11067.98,-8527.28,  0,0.0,reject
309,2540.7,2355.11,185.59,  0,inf,accept
310,2355.11,11067.97,-8712.86,  0,0.0,reject
311,2355.11,3269.3,-914.19,  0,0.0,reject
312,2355.11,5588.33,-3233.22,  0,0.0,reject
313,2355.11,11067.98,-8712.87,  0,0.0,reject
314,2355.11,11067.98,-8712.87,  0,0.0,reject
315,2355.11,2432.95,-77.84,  0,0.0,reject
316,2355.11,11043.95,-8688.84,  0,0.0,reject
317,2355.11,4225.58,-1870.47,  0,0.0,reject
318,2355.11,2985.67,-630.56,  0,0.0,reject
319,2355.11,3018.11,-663.0,  0,0.0,reject
320,2355.11,11067.98,-8712.87,  0,0.0,reject
321,2355.11,11067.97,-8712.86,  0,0.0,reject
322,2355.11,5651.85,-3296.74,  0,0.0,reject
323,2355.11,11067.98,-8712.87,  0,0.0,reject
324,2355.11,11043.95,-8688.84,  0,0.0,reject
325,2355.11,2450.54,-95.43,  0,0.0,reject
326,2355.11,11067.98,-8712.87,  0,0.0,reject
327,2355.11,9361.68,-7006.57,  0,0.0,reject
328,2355.11,11067.97,-8712.86,  0,0.0,reject
329,2355.11,2983.46,-628.35,  0,0.0,reject
330,2355.11,6452.96,-4097.85,  0,0.0,reject
331,2355.11,9349.11,-6994.0,  0,0.0,reject
332,2355.11,2717.45,-362.34,  0,0.0,reject
333,2355.11,11067.97,-8712.86,  0,0.0,reject
334,2355.11,11067.97,-8712.86,  0,0.0,reject
335,2355.11,11043.95,-8688.84,  0,0.0,reject
336,2355.11,11057.57,-8702.46,  0,0.0,reject
337,2355.11,4606.89,-2251.78,  0,0.0,reject
338,2355.11,3122.68,-767.57,  0,0.0,reject
339,2355.11,3162.41,-807.3,  0,0.0,reject
340,2355.11,11067.97,-8712.86,  0,0.0,reject
341,2355.11,11067.98,-8712.87,  0,0.0,reject
342,2355.11,4225.58,-1870.47,  0,0.0,reject
343,2355.11,11043.95,-8688.84,  0,0.0,reject
344,2355.11,2297.12,57.99,  0,inf,accept
345,2297.12,2287.89,9.23,  0,inf,accept
346,2287.89,11067.98,-8780.09,  0,0.0,reject
347,2287.89,11067.97,-8780.08,  0,0.0,reject
